atlas,period,base_site,survey,trait_family,trait_value,n_species,trait_probability,expected_group_richness,expected_total_richness,site,X,Y
1,1970s,DD19,DD19_1,Thermal,CWM STI,157,12.088056344348933,NA,62.80088384881153,DD19,557499.7962017705,6297499.866076322
1,1970s,DD20,DD20_1,Thermal,CWM STI,157,12.161008265532226,NA,51.18311696810051,DD20,562499.8979436193,6252499.742285932
1,1970s,DD21,DD21_1,Thermal,CWM STI,157,12.154764117932062,NA,54.33969036650624,DD21,562499.8222470335,6257499.8229469415
1,1970s,BD36,BD36_1,Thermal,CWM STI,157,11.794674995821978,NA,59.792193666621934,BD36,467500.0370856172,6282499.739297631
1,1970s,DD22,DD22_1,Thermal,CWM STI,157,12.114233326182465,NA,38.144244712300335,DD22,562499.8437607648,6262499.831936724
1,1970s,DD24,DD24_1,Thermal,CWM STI,157,12.129617812155384,NA,35.19916875574019,DD24,562499.8019624483,6272499.851935544
1,1970s,DD26,DD26_1,Thermal,CWM STI,157,12.054531589143293,NA,69.33002999826022,DD26,562499.825335824,6282499.914256911
1,1970s,DD27,DD27_1,Thermal,CWM STI,157,12.071933994211582,NA,39.55753245600191,DD27,562499.8219761638,6287499.891081318
1,1970s,DD28,DD28_1,Thermal,CWM STI,157,12.116002112342615,NA,53.926181504741585,DD28,562499.7860176418,6292499.905539777
1,1970s,DD29,DD29_1,Thermal,CWM STI,157,12.10303200408269,NA,65.84619906501224,DD29,562499.8388001381,6297499.959425464
1,1970s,DD30,DD30_1,Thermal,CWM STI,157,12.095037587028012,NA,60.867922027267234,DD30,567499.9045343413,6252499.740139163
1,1970s,DD31,DD31_1,Thermal,CWM STI,157,12.075638892600214,NA,53.9427684341678,DD31,567499.8570273767,6257499.839340627
1,1970s,BD37,BD37_1,Thermal,CWM STI,157,11.850255019057238,NA,66.21271216958081,BD37,467500.0506595336,6287499.810571126
1,1970s,DD35,DD35_1,Thermal,CWM STI,157,12.083254897527045,NA,43.08256977859022,DD35,567499.839200209,6277499.844712948
1,1970s,DD37,DD37_1,Thermal,CWM STI,157,12.054759924618882,NA,56.79125116832688,DD37,567499.854039139,6287499.911641263
1,1970s,DD38,DD38_1,Thermal,CWM STI,157,12.121362827994428,NA,46.5960861608142,DD38,567499.8490636005,6292499.946900631
1,1970s,DD39,DD39_1,Thermal,CWM STI,157,12.132944774733868,NA,49.28215796302381,DD39,567499.7951241602,6297499.908455915
1,1970s,DD40,DD40_1,Thermal,CWM STI,157,12.16879906487471,NA,39.001490705988445,DD40,572499.8910228461,6252499.837507532
1,1970s,DD41,DD41_1,Thermal,CWM STI,157,12.106163338370605,NA,50.47970263291566,DD41,572499.874319164,6257499.853998432
1,1970s,BD38,BD38_1,Thermal,CWM STI,157,11.928658137220445,NA,35.806320571769284,BD38,467500.0539126969,6292499.807359152
1,1970s,DD42,DD42_1,Thermal,CWM STI,157,12.132516347642547,NA,46.468292101198536,DD42,572499.8594056569,6262499.798046281
1,1970s,DD43,DD43_1,Thermal,CWM STI,157,12.109800479865855,NA,53.3382023390179,DD43,572499.8414943474,6267499.892215765
1,1970s,DD46,DD46_1,Thermal,CWM STI,157,12.006367814678512,NA,44.03890696892225,DD46,572499.840314927,6282499.96321855
1,1970s,DD47,DD47_1,Thermal,CWM STI,157,12.027814136112948,NA,55.64591613415093,DD47,572499.8119906547,6287499.989774233
1,1970s,DD48,DD48_1,Thermal,CWM STI,157,12.133725996767089,NA,50.616183172795346,DD48,572499.8407176494,6292499.944752331
1,1970s,DD49,DD49_1,Thermal,CWM STI,157,12.100247142882742,NA,47.74984407671917,DD49,572499.8623283049,6297499.938366378
1,1970s,DD50,DD50_1,Thermal,CWM STI,157,12.112243332463876,NA,44.63144111685954,DD50,577499.9397466873,6252499.812573781
1,1970s,DD51,DD51_1,Thermal,CWM STI,157,12.019686518585921,NA,65.14850215750462,DD51,577499.8911025693,6257499.866573606
1,1970s,BD39,BD39_1,Thermal,CWM STI,157,11.951252508979241,NA,62.35458655987677,BD39,467500.0473273079,6297499.729633846
1,1970s,DD52,DD52_1,Thermal,CWM STI,157,12.032671232150268,NA,48.693742507152464,DD52,577499.8890167333,6262499.849300526
1,1970s,DD53,DD53_1,Thermal,CWM STI,157,11.962805997255751,NA,54.273324218587135,DD53,577499.8687690438,6267499.87089236
1,1970s,DD54,DD54_1,Thermal,CWM STI,157,11.901158710133634,NA,42.176822206061765,DD54,577499.8907825949,6272499.932445059
1,1970s,DD57,DD57_1,Thermal,CWM STI,157,11.930027018675556,NA,59.75685046434253,DD57,577499.8373202452,6287500.015885937
1,1970s,DD59,DD59_1,Thermal,CWM STI,157,12.13970531829881,NA,37.29858761389249,DD59,577499.8764129576,6297499.934571228
1,1970s,DD61,DD61_1,Thermal,CWM STI,157,12.126449873429081,NA,55.07524552527321,DD61,582499.9243567707,6257499.87675696
1,1970s,BD40,BD40_1,Thermal,CWM STI,157,12.067616826736014,NA,34.22505290946093,BD40,472500.0931846446,6252499.686959085
1,1970s,DD62,DD62_1,Thermal,CWM STI,157,12.097537362869144,NA,54.35638664426581,DD62,582499.9358377454,6262499.908196272
1,1970s,DD63,DD63_1,Thermal,CWM STI,157,12.094041434568412,NA,52.07376338971928,DD63,582499.9142568866,6267499.867230073
1,1970s,DD64,DD64_1,Thermal,CWM STI,157,11.969675228611793,NA,55.42549871509769,DD64,582499.9156895869,6272499.97761661
1,1970s,DD65,DD65_1,Thermal,CWM STI,157,11.932117844688026,NA,49.690788068068905,DD65,582499.8841101133,6277499.904232946
1,1970s,DD70,DD70_1,Thermal,CWM STI,157,12.063887603394944,NA,65.5217683287033,DD70,587499.9756611895,6252499.834294763
1,1970s,DD71,DD71_1,Thermal,CWM STI,157,12.175739451938506,NA,47.013150381233054,DD71,587499.9294289971,6257499.883005279
1,1970s,DD72,DD72_1,Thermal,CWM STI,157,12.135664316200755,NA,47.95927834684171,DD72,587499.9576007758,6262499.861898324
1,1970s,BD41,BD41_1,Thermal,CWM STI,157,12.070171573187023,NA,35.632828947141014,BD41,472500.0753691514,6257499.700065501
1,1970s,DD80,DD80_1,Thermal,CWM STI,157,12.074724107164974,NA,63.53118320842364,DD80,592499.9965185599,6252499.880145047
1,1970s,DD81,DD81_1,Thermal,CWM STI,157,12.075484732653974,NA,52.54626072408818,DD81,592499.9849260056,6257499.886210558
1,1970s,DD90,DD90_1,Thermal,CWM STI,157,12.109975350829611,NA,41.34354395820957,DD90,597499.9603299614,6252499.909862781
1,1970s,DD91,DD91_1,Thermal,CWM STI,157,12.08530033148573,NA,57.5805357629907,DD91,597499.9845591482,6257499.88334208
1,1970s,DD92,DD92_1,Thermal,CWM STI,157,12.072393746194058,NA,45.71763522511606,DD92,597499.985225495,6262499.8971402
1,1970s,DE00,DE00_1,Thermal,CWM STI,157,12.10322881691202,NA,61.82730568180908,DE00,552500.0397736444,6202499.815031244
1,1970s,DE01,DE01_1,Thermal,CWM STI,157,12.046428699658497,NA,76.7865076343626,DE01,552500.0522177635,6207499.735317095
1,1970s,DE02,DE02_1,Thermal,CWM STI,157,12.119843031414861,NA,55.27536737691545,DE02,552500.0156842017,6212499.692870375
1,1970s,BD42,BD42_1,Thermal,CWM STI,157,12.064474026087753,NA,46.30602888787784,BD42,472500.0892348051,6262499.638397401
1,1970s,DE03,DE03_1,Thermal,CWM STI,157,12.130768982262424,NA,55.62972949547326,DE03,552499.9918704326,6217499.688423337
1,1970s,DE04,DE04_1,Thermal,CWM STI,157,12.165382123633034,NA,34.65487816063676,DE04,552500.0421838384,6222499.722709725
1,1970s,DE05,DE05_1,Thermal,CWM STI,157,12.097800378571112,NA,44.01057220676566,DE05,552499.9808522139,6227499.682127924
1,1970s,DE07,DE07_1,Thermal,CWM STI,157,12.100510295102753,NA,67.42303443395173,DE07,552499.9514282229,6237499.715456871
1,1970s,DE10,DE10_1,Thermal,CWM STI,157,12.128635910821535,NA,58.41914505123921,DE10,557499.9926700045,6202499.753927617
1,1970s,DE11,DE11_1,Thermal,CWM STI,157,12.054095170968049,NA,60.105586101837574,DE11,557500.0121679712,6207499.781346942
1,1970s,DE12,DE12_1,Thermal,CWM STI,157,12.276788432708438,NA,28.63935060705824,DE12,557500.0298874964,6212499.735544217
1,1970s,BD43,BD43_1,Thermal,CWM STI,157,11.839047132527817,NA,42.0589271889529,BD43,472500.0750117887,6267499.724942416
