"site","survey","atlas","period","species_richness","retained_species_pool_size","pct_lnd"
"DF59","DF59_1","1","1970s",74,154,59.3753642159204
"DF61","DF61_1","1","1970s",62,154,100
"DF71","DF71_1","1","1970s",52,154,100
"DF80","DF80_1","1","1970s",63,154,76.3140123142021
"DF96","DF96_1","1","1970s",64,154,46.1699303789047
"DF97","DF97_1","1","1970s",40,154,84.0002369062102
"DG00","DG00_1","1","1970s",45,154,39.4702399868395
"DG07","DG07_1","1","1970s",74,154,62.7458660521922
"DG08","DG08_1","1","1970s",49,154,67.4606067284632
"DG09","DG09_1","1","1970s",68,154,97.2226006122527
"DG16","DG16_1","1","1970s",55,154,78.1995318806875
"DG17","DG17_1","1","1970s",40,154,99.8446715739899
"DG22","DG22_1","1","1970s",50,154,31.842259892012
"DG23","DG23_1","1","1970s",58,154,30.8461752424905
"DG27","DG27_1","1","1970s",51,154,100
"DG28","DG28_1","1","1970s",63,154,100
"DG34","DG34_1","1","1970s",46,154,100
"DG35","DG35_1","1","1970s",65,154,100
"DG41","DG41_1","1","1970s",44,154,71.2525560393892
"DG42","DG42_1","1","1970s",73,154,41.4674239498275
"DG43","DG43_1","1","1970s",49,154,92.0382550341682
"DG47","DG47_1","1","1970s",52,154,100
"DG48","DG48_1","1","1970s",57,154,100
"DG49","DG49_1","1","1970s",53,154,100
"DG51","DG51_1","1","1970s",81,154,88.1740104933376
"DG56","DG56_1","1","1970s",55,154,100
"DG57","DG57_1","1","1970s",76,154,100
"DG58","DG58_1","1","1970s",72,154,100
"DG61","DG61_1","1","1970s",87,154,97.9923265305891
"DG62","DG62_1","1","1970s",89,154,100
"DG63","DG63_1","1","1970s",55,154,100
"DG64","DG64_1","1","1970s",70,154,100
"DG67","DG67_1","1","1970s",62,154,100
"DG69","DG69_1","1","1970s",62,154,100
"DG71","DG71_1","1","1970s",68,154,100
"DG72","DG72_1","1","1970s",71,154,100
"DG73","DG73_1","1","1970s",65,154,100
"DG74","DG74_1","1","1970s",48,154,100
"DG75","DG75_1","1","1970s",74,154,100
"DG76","DG76_1","1","1970s",48,154,100
"DG78","DG78_1","1","1970s",68,154,100
"DG79","DG79_1","1","1970s",51,154,100
"DG83","DG83_1","1","1970s",49,154,100
"DG85","DG85_1","1","1970s",55,154,100
"DG86","DG86_1","1","1970s",57,154,100
"DG87","DG87_1","1","1970s",54,154,100
"DG88","DG88_1","1","1970s",71,154,97.6514051232204
"DG89","DG89_1","1","1970s",67,154,35.6656827819701
"DG91","DG91_1","1","1970s",55,154,100
"DG92","DG92_1","1","1970s",55,154,100
"DG94","DG94_1","1","1970s",73,154,100
"DG95","DG95_1","1","1970s",66,154,100
"DG96","DG96_1","1","1970s",59,154,100
"DG97","DG97_1","1","1970s",72,154,100
"DH06","DH06_1","1","1970s",76,154,26.2665076818191
"DH07","DH07_1","1","1970s",73,154,84.6169154812907
"DH08","DH08_1","1","1970s",39,154,58.821813812655
"DH16","DH16_1","1","1970s",86,154,50.3746482314935
