atlas,atlas_index,species,climate,land_use,environmental_variables,spatial_biotic_dependencies,total_explained,tjur_r2,scaling_check_abs_diff
1970s,1,Podiceps_nigricollis,0.0021665751152523264,0.016941759056087646,0.01910833417133997,0.08232105431990404,0.10142938849124401,0.101429388491244,1.3877787807814457e-17
1970s,1,Tachybaptus_ruficollis,0.004447737048752118,0.039174290729007376,0.043622027777759496,0.14780338405188048,0.19142541182963999,0.19142541182964,2.7755575615628914e-17
1970s,1,Asio_flammeus,0.01602281548101854,0.03502499807283263,0.05104781355385117,0.07428777239287279,0.12533558594672395,0.125335585946724,5.551115123125783e-17
1970s,1,Asio_otus,8.36503902349274e-4,0.021183306206762325,0.0220198101091116,0.14498040900660028,0.1670002191157119,0.167000219115712,1.1102230246251565e-16
1970s,1,Athene_noctua,0.0057527762118563955,0.02251047480729316,0.028263251019149553,0.12711179839087366,0.15537504941002322,0.155375049410023,2.220446049250313e-16
1970s,1,Strix_aluco,0.039071725775916666,0.0567813416450251,0.09585306742094177,0.32426750001528976,0.4201205674362315,0.420120567436232,4.996003610813204e-16
1970s,1,Tyto_alba,0.033247912208625566,0.02182498641906933,0.05507289862769489,0.03360939553676219,0.08868229416445708,0.088682294164457,8.326672684688674e-17
1990s,2,Accipiter_nisus,0.01723757615362868,0.05599074130170378,0.07322831745533245,0.21251032595562566,0.2857386434109581,0.285738643410958,1.1102230246251565e-16
1990s,2,Astur_gentilis,0.0014903247166238552,0.17465284336806866,0.17614316808469252,0.12338970136434908,0.2995328694490416,0.299532869449042,3.885780586188048e-16
1990s,2,Buteo_buteo,0.008156784036491945,0.12668246148704648,0.13483924552353843,0.19782517828074891,0.33266442380428735,0.332664423804287,3.3306690738754696e-16
1990s,2,Circus_aeruginosus,0.12656539687635518,0.03721543654452322,0.1637808334208784,0.21404108204023004,0.37782191546110844,0.377821915461108,4.440892098500626e-16
1990s,2,Circus_pygargus,0.05732603504027881,0.059162339522238344,0.11648837456251715,0.14371255238690886,0.260200926949426,0.260200926949426,0
1990s,2,Pernis_apivorus,0.0013762944575994437,0.10988992991200858,0.11126622436960802,0.24224654892185687,0.3535127732914649,0.353512773291465,1.1102230246251565e-16
1990s,2,Anas_acuta,0.07164188132845672,0.11134692860477394,0.18298880993323066,0.21322202967536608,0.3962108396085967,0.396210839608597,2.7755575615628914e-16
1990s,2,Anas_crecca,0.00709788591333364,0.04094455773479443,0.04804244364812807,0.16560163331765607,0.21364407696578414,0.213644076965784,1.3877787807814457e-16
1990s,2,Anas_platyrhynchos,0.010696269011928492,0.03051065841771653,0.041206927429645025,0.23204381000859883,0.27325073743824385,0.273250737438244,1.6653345369377348e-16
1990s,2,Anser_anser,0.02355338982960163,0.03902148952233149,0.06257487935193312,0.3524311473946732,0.4150060267466063,0.415006026746606,2.7755575615628914e-16
1990s,2,Aythya_ferina,0.012062224327335643,0.021888046478000397,0.03395027080533604,0.38224049076918487,0.4161907615745209,0.416190761574521,1.1102230246251565e-16
1990s,2,Aythya_fuligula,0.0025709516217425027,0.03024186426171367,0.03281281588345617,0.2941735359539571,0.3269863518374133,0.326986351837413,3.3306690738754696e-16
1990s,2,Cygnus_olor,0.03557165572816541,0.03802793148599683,0.07359958721416224,0.3683095748709866,0.44190916208514885,0.441909162085149,1.6653345369377348e-16
1990s,2,Mareca_strepera,0.1272704263073826,0.0416430707085072,0.1689134970158898,0.297305847089722,0.46621934410561183,0.466219344105612,1.6653345369377348e-16
