"survey","site","atlas","period","model_year","species_richness","raw_species_pool_size","analysis_set"
"BH89_3","BH89","3","2010s",2014,76,201,"All model-included surveys"
"BH96_1","BH96","1","1970s",1971,51,201,"All model-included surveys"
"BH96_2","BH96","2","1990s",1992,47,201,"All model-included surveys"
"BH96_3","BH96","3","2010s",2014,37,201,"All model-included surveys"
"BH97_1","BH97","1","1970s",1971,63,201,"All model-included surveys"
"BH97_2","BH97","2","1990s",1992,45,201,"All model-included surveys"
"BH97_3","BH97","3","2010s",2014,63,201,"All model-included surveys"
"BH98_1","BH98","1","1970s",1971,48,201,"All model-included surveys"
"BH98_2","BH98","2","1990s",1992,70,201,"All model-included surveys"
"BH98_3","BH98","3","2010s",2014,61,201,"All model-included surveys"
"BH99_1","BH99","1","1970s",1971,95,201,"All model-included surveys"
"BH99_2","BH99","2","1990s",1992,102,201,"All model-included surveys"
"BH99_3","BH99","3","2010s",2014,76,201,"All model-included surveys"
"CB80_1","CB80","1","1970s",1971,28,201,"All model-included surveys"
"CB80_2","CB80","2","1990s",1992,53,201,"All model-included surveys"
"CB80_3","CB80","3","2010s",2014,62,201,"All model-included surveys"
"CB81_1","CB81","1","1970s",1971,25,201,"All model-included surveys"
"CB81_2","CB81","2","1990s",1992,40,201,"All model-included surveys"
"CB81_3","CB81","3","2010s",2014,70,201,"All model-included surveys"
"CB90_2","CB90","2","1990s",1992,48,201,"All model-included surveys"
"CB90_3","CB90","3","2010s",2014,59,201,"All model-included surveys"
"CB91_2","CB91","2","1990s",1992,50,201,"All model-included surveys"
"CB91_3","CB91","3","2010s",2014,44,201,"All model-included surveys"
"CB92_2","CB92","2","1990s",1992,42,201,"All model-included surveys"
"CB92_3","CB92","3","2010s",2014,47,201,"All model-included surveys"
"CB93_1","CB93","1","1970s",1971,27,201,"All model-included surveys"
"CB93_2","CB93","2","1990s",1992,46,201,"All model-included surveys"
"CB93_3","CB93","3","2010s",2014,59,201,"All model-included surveys"
"CC04_1","CC04","1","1970s",1971,68,201,"All model-included surveys"
"CC04_2","CC04","2","1990s",1992,101,201,"All model-included surveys"
"CC04_3","CC04","3","2010s",2014,97,201,"All model-included surveys"
"CC05_1","CC05","1","1970s",1971,48,201,"All model-included surveys"
"CC05_2","CC05","2","1990s",1992,90,201,"All model-included surveys"
"CC05_3","CC05","3","2010s",2014,79,201,"All model-included surveys"
"CC06_1","CC06","1","1970s",1971,63,201,"All model-included surveys"
"CC06_2","CC06","2","1990s",1992,78,201,"All model-included surveys"
"CC06_3","CC06","3","2010s",2014,74,201,"All model-included surveys"
"CC14_1","CC14","1","1970s",1971,40,201,"All model-included surveys"
"CC14_2","CC14","2","1990s",1992,84,201,"All model-included surveys"
"CC14_3","CC14","3","2010s",2014,66,201,"All model-included surveys"
"CC15_1","CC15","1","1970s",1971,39,201,"All model-included surveys"
"CC15_2","CC15","2","1990s",1992,62,201,"All model-included surveys"
"CC15_3","CC15","3","2010s",2014,52,201,"All model-included surveys"
"CC16_1","CC16","1","1970s",1971,51,201,"All model-included surveys"
"CC16_2","CC16","2","1990s",1992,63,201,"All model-included surveys"
"CC16_3","CC16","3","2010s",2014,57,201,"All model-included surveys"
"CC20_1","CC20","1","1970s",1971,40,201,"All model-included surveys"
"CC20_2","CC20","2","1990s",1992,52,201,"All model-included surveys"
"CC20_3","CC20","3","2010s",2014,68,201,"All model-included surveys"
"CC21_2","CC21","2","1990s",1992,38,201,"All model-included surveys"
"CC21_3","CC21","3","2010s",2014,63,201,"All model-included surveys"
"CC23_1","CC23","1","1970s",1971,58,201,"All model-included surveys"
"CC23_2","CC23","2","1990s",1992,51,201,"All model-included surveys"
"CC23_3","CC23","3","2010s",2014,38,201,"All model-included surveys"
"CC24_1","CC24","1","1970s",1971,55,201,"All model-included surveys"
"CC24_2","CC24","2","1990s",1992,54,201,"All model-included surveys"
"CC24_3","CC24","3","2010s",2014,60,201,"All model-included surveys"
"CC25_1","CC25","1","1970s",1971,45,201,"All model-included surveys"
"CC25_2","CC25","2","1990s",1992,57,201,"All model-included surveys"
"CC25_3","CC25","3","2010s",2014,48,201,"All model-included surveys"
"CC26_1","CC26","1","1970s",1971,40,201,"All model-included surveys"
"CC26_2","CC26","2","1990s",1992,56,201,"All model-included surveys"
"CC26_3","CC26","3","2010s",2014,50,201,"All model-included surveys"
"CC30_1","CC30","1","1970s",1971,47,201,"All model-included surveys"
"CC30_2","CC30","2","1990s",1992,67,201,"All model-included surveys"
"CC30_3","CC30","3","2010s",2014,71,201,"All model-included surveys"
"CC31_1","CC31","1","1970s",1971,55,201,"All model-included surveys"
"CC31_2","CC31","2","1990s",1992,43,201,"All model-included surveys"
"CC31_3","CC31","3","2010s",2014,79,201,"All model-included surveys"
"CC32_2","CC32","2","1990s",1992,46,201,"All model-included surveys"
"CC32_3","CC32","3","2010s",2014,61,201,"All model-included surveys"
"CC33_1","CC33","1","1970s",1971,48,201,"All model-included surveys"
"CC33_2","CC33","2","1990s",1992,61,201,"All model-included surveys"
"CC33_3","CC33","3","2010s",2014,57,201,"All model-included surveys"
"CC34_1","CC34","1","1970s",1971,32,201,"All model-included surveys"
"CC34_2","CC34","2","1990s",1992,71,201,"All model-included surveys"
"CC34_3","CC34","3","2010s",2014,50,201,"All model-included surveys"
"CC35_1","CC35","1","1970s",1971,43,201,"All model-included surveys"
"CC35_2","CC35","2","1990s",1992,79,201,"All model-included surveys"
"CC35_3","CC35","3","2010s",2014,58,201,"All model-included surveys"
"CC36_1","CC36","1","1970s",1971,59,201,"All model-included surveys"
"CC36_2","CC36","2","1990s",1992,74,201,"All model-included surveys"
"CC36_3","CC36","3","2010s",2014,67,201,"All model-included surveys"
"CC40_1","CC40","1","1970s",1971,44,201,"All model-included surveys"
"CC40_2","CC40","2","1990s",1992,57,201,"All model-included surveys"
"CC40_3","CC40","3","2010s",2014,56,201,"All model-included surveys"
"CC41_1","CC41","1","1970s",1971,52,201,"All model-included surveys"
"CC41_2","CC41","2","1990s",1992,58,201,"All model-included surveys"
"CC41_3","CC41","3","2010s",2014,62,201,"All model-included surveys"
"CC42_2","CC42","2","1990s",1992,43,201,"All model-included surveys"
"CC42_3","CC42","3","2010s",2014,49,201,"All model-included surveys"
"CC43_2","CC43","2","1990s",1992,43,201,"All model-included surveys"
"CC43_3","CC43","3","2010s",2014,50,201,"All model-included surveys"
"CC44_1","CC44","1","1970s",1971,38,201,"All model-included surveys"
"CC44_2","CC44","2","1990s",1992,65,201,"All model-included surveys"
"CC44_3","CC44","3","2010s",2014,54,201,"All model-included surveys"
"CC45_1","CC45","1","1970s",1971,38,201,"All model-included surveys"
"CC45_2","CC45","2","1990s",1992,52,201,"All model-included surveys"
"CC45_3","CC45","3","2010s",2014,51,201,"All model-included surveys"
"CC46_1","CC46","1","1970s",1971,73,201,"All model-included surveys"
"CC46_2","CC46","2","1990s",1992,83,201,"All model-included surveys"
"CC46_3","CC46","3","2010s",2014,81,201,"All model-included surveys"
"CC50_1","CC50","1","1970s",1971,55,201,"All model-included surveys"
"CC50_2","CC50","2","1990s",1992,52,201,"All model-included surveys"
"CC50_3","CC50","3","2010s",2014,59,201,"All model-included surveys"
"CC51_2","CC51","2","1990s",1992,57,201,"All model-included surveys"
"CC51_3","CC51","3","2010s",2014,61,201,"All model-included surveys"
"CC52_1","CC52","1","1970s",1971,40,201,"All model-included surveys"
"CC52_2","CC52","2","1990s",1992,60,201,"All model-included surveys"
"CC52_3","CC52","3","2010s",2014,55,201,"All model-included surveys"
"CC53_1","CC53","1","1970s",1971,71,201,"All model-included surveys"
"CC53_2","CC53","2","1990s",1992,78,201,"All model-included surveys"
"CC53_3","CC53","3","2010s",2014,56,201,"All model-included surveys"
"CC54_1","CC54","1","1970s",1971,63,201,"All model-included surveys"
"CC54_2","CC54","2","1990s",1992,73,201,"All model-included surveys"
"CC54_3","CC54","3","2010s",2014,62,201,"All model-included surveys"
"CC55_2","CC55","2","1990s",1992,72,201,"All model-included surveys"
"CC55_3","CC55","3","2010s",2014,57,201,"All model-included surveys"
"CC56_1","CC56","1","1970s",1971,73,201,"All model-included surveys"
"CC56_2","CC56","2","1990s",1992,54,201,"All model-included surveys"
"CC56_3","CC56","3","2010s",2014,58,201,"All model-included surveys"
"CC57_1","CC57","1","1970s",1971,50,201,"All model-included surveys"
"CC57_2","CC57","2","1990s",1992,41,201,"All model-included surveys"
"CC57_3","CC57","3","2010s",2014,53,201,"All model-included surveys"
"CC60_1","CC60","1","1970s",1971,55,201,"All model-included surveys"
"CC60_2","CC60","2","1990s",1992,53,201,"All model-included surveys"
"CC60_3","CC60","3","2010s",2014,70,201,"All model-included surveys"
"CC61_1","CC61","1","1970s",1971,75,201,"All model-included surveys"
"CC61_2","CC61","2","1990s",1992,76,201,"All model-included surveys"
"CC61_3","CC61","3","2010s",2014,86,201,"All model-included surveys"
"CC62_1","CC62","1","1970s",1971,65,201,"All model-included surveys"
"CC62_2","CC62","2","1990s",1992,68,201,"All model-included surveys"
"CC62_3","CC62","3","2010s",2014,70,201,"All model-included surveys"
"CC63_1","CC63","1","1970s",1971,42,201,"All model-included surveys"
"CC63_2","CC63","2","1990s",1992,68,201,"All model-included surveys"
"CC63_3","CC63","3","2010s",2014,64,201,"All model-included surveys"
"CC64_1","CC64","1","1970s",1971,57,201,"All model-included surveys"
"CC64_2","CC64","2","1990s",1992,73,201,"All model-included surveys"
"CC64_3","CC64","3","2010s",2014,53,201,"All model-included surveys"
"CC65_1","CC65","1","1970s",1971,48,201,"All model-included surveys"
"CC65_2","CC65","2","1990s",1992,72,201,"All model-included surveys"
"CC65_3","CC65","3","2010s",2014,54,201,"All model-included surveys"
"CC66_1","CC66","1","1970s",1971,44,201,"All model-included surveys"
"CC66_2","CC66","2","1990s",1992,66,201,"All model-included surveys"
"CC66_3","CC66","3","2010s",2014,55,201,"All model-included surveys"
"CC67_1","CC67","1","1970s",1971,49,201,"All model-included surveys"
"CC67_2","CC67","2","1990s",1992,71,201,"All model-included surveys"
"CC67_3","CC67","3","2010s",2014,62,201,"All model-included surveys"
"CC68_1","CC68","1","1970s",1971,43,201,"All model-included surveys"
"CC68_2","CC68","2","1990s",1992,55,201,"All model-included surveys"
"CC68_3","CC68","3","2010s",2014,45,201,"All model-included surveys"
"CC70_1","CC70","1","1970s",1971,72,201,"All model-included surveys"
"CC70_2","CC70","2","1990s",1992,54,201,"All model-included surveys"
"CC70_3","CC70","3","2010s",2014,68,201,"All model-included surveys"
"CC71_1","CC71","1","1970s",1971,43,201,"All model-included surveys"
"CC71_2","CC71","2","1990s",1992,53,201,"All model-included surveys"
"CC71_3","CC71","3","2010s",2014,90,201,"All model-included surveys"
"CC72_1","CC72","1","1970s",1971,65,201,"All model-included surveys"
"CC72_2","CC72","2","1990s",1992,59,201,"All model-included surveys"
"CC72_3","CC72","3","2010s",2014,79,201,"All model-included surveys"
"CC75_1","CC75","1","1970s",1971,98,201,"All model-included surveys"
"CC75_2","CC75","2","1990s",1992,91,201,"All model-included surveys"
"CC75_3","CC75","3","2010s",2014,86,201,"All model-included surveys"
"CC76_1","CC76","1","1970s",1971,43,201,"All model-included surveys"
"CC76_2","CC76","2","1990s",1992,57,201,"All model-included surveys"
"CC76_3","CC76","3","2010s",2014,53,201,"All model-included surveys"
"CC77_1","CC77","1","1970s",1971,61,201,"All model-included surveys"
"CC77_2","CC77","2","1990s",1992,83,201,"All model-included surveys"
"CC77_3","CC77","3","2010s",2014,62,201,"All model-included surveys"
"CC78_2","CC78","2","1990s",1992,46,201,"All model-included surveys"
"CC78_3","CC78","3","2010s",2014,42,201,"All model-included surveys"
"CC79_1","CC79","1","1970s",1971,37,201,"All model-included surveys"
"CC79_3","CC79","3","2010s",2014,57,201,"All model-included surveys"
"CC80_1","CC80","1","1970s",1971,83,201,"All model-included surveys"
"CC80_2","CC80","2","1990s",1992,81,201,"All model-included surveys"
"CC80_3","CC80","3","2010s",2014,88,201,"All model-included surveys"
"CC81_1","CC81","1","1970s",1971,34,201,"All model-included surveys"
"CC81_2","CC81","2","1990s",1992,41,201,"All model-included surveys"
"CC81_3","CC81","3","2010s",2014,64,201,"All model-included surveys"
"CC82_1","CC82","1","1970s",1971,51,201,"All model-included surveys"
