"site","richness_1970s","richness_1990s","delta_richness_1990s_minus_1970s","pct_lnd"
"GF63",41,53,12,27.1645104475245
"GF74",46,62,16,53.8041828110792
"GG05",60,64,4,99.6443402610512
"GG06",60,64,4,100
"GG08",63,83,20,100
"GG09",81,80,-1,72.8942695415134
"GG10",73,79,6,27.4964454073353
"GG15",55,72,17,71.8812063867855
"GG20",42,63,21,64.3406338770775
"GG25",65,80,15,59.9130145782223
"GG27",53,69,16,100
"GG28",71,87,16,82.1214247948237
"GG30",57,66,9,60.4192052615995
"GG36",56,51,-5,76.7143533326759
"GG37",46,67,21,72.8680880138893
"GG40",54,60,6,48.2723521513839
"GH06",59,62,3,45.1153158998299
"GH07",65,68,3,65.25391089664
"GH08",62,66,4,93.0682691387086
"GH09",52,55,3,41.0140317226033
