Species,atlas,period,PC1,PC2
Anas_platyrhynchos,3,2010s,0.09682793786872998,-0.1243061449273659
Anser_anser,3,2010s,0.04607857445142219,0.04198983208354734
Anthus_pratensis,3,2010s,-0.47766780743836484,0.0153061168240369
Anthus_trivialis,3,2010s,0.6958535408416261,0.28307734354265857
Apus_apus,3,2010s,0.24087553113186175,-0.2155304023993369
Ardea_cinerea,3,2010s,-0.16439557089606227,0.024000341108640983
Asio_flammeus,3,2010s,-0.7966175119732664,-0.05972604772680131
Asio_otus,3,2010s,0.09445589687967058,-0.07205780001186247
Astur_gentilis,3,2010s,0.5271308830232614,0.14232380450618407
Athene_noctua,3,2010s,0.060090595055963876,0.05178616756161121
Aythya_ferina,3,2010s,0.003277349276862675,-0.2446503661282472
Aythya_fuligula,3,2010s,0.1968505771192619,-0.051151689192786703
Botaurus_stellaris,3,2010s,-0.14607290057278405,0.05140493102515168
Buteo_buteo,3,2010s,0.44663810300341644,-0.015531888379131996
Calidris_alpina,3,2010s,-0.7046386201834326,0.01581505355965199
Calidris_pugnax,3,2010s,-0.7705614053413298,-0.053649212947944405
Caprimulgus_europaeus,3,2010s,-0.2290571084642363,0.16716277666008741
Carduelis_carduelis,3,2010s,0.047813166412427416,-0.10437300040398138
Carpodacus_erythrinus,3,2010s,-0.6371190931995346,-0.3706828778228353
Certhia_brachydactyla,3,2010s,0.14102423327665503,0.4307866129433385
Certhia_familiaris,3,2010s,0.33403677626655576,-0.12475055173803604
Charadrius_dubius,3,2010s,0.3353485178273594,0.036460518546798645
Charadrius_hiaticula,3,2010s,-0.9776654000240201,-0.1784841294654102
Chlidonias_niger,3,2010s,-0.44985192914676064,0.19862936435340847
Chloris_chloris,3,2010s,0.28473655764195743,-0.23183721079621422
Chroicocephalus_ridibundus,3,2010s,-0.16569835945451666,-0.058377684533789616
Cinclus_cinclus,3,2010s,0.39340168768904893,-0.22862438383497977
Circus_aeruginosus,3,2010s,-0.1015348883677732,-0.14413548632835302
Circus_pygargus,3,2010s,-0.16408102034889682,0.6595700270149298
Coccothraustes_coccothraustes,3,2010s,0.5422323179360571,-0.04041431259718106
Coloeus_monedula,3,2010s,0.5144179974194725,-0.3423132264878782
Columba_oenas,3,2010s,0.24661751672210358,-0.11440649929368524
Columba_palumbus,3,2010s,0.33137794072618854,-0.10097229008334697
Corvus_corax,3,2010s,0.2918143026071789,0.045150109898241586
Corvus_cornix,3,2010s,0.07321485061702851,-0.3419671344341294
Corvus_corone,3,2010s,-0.20611318873663112,0.6605736481007378
Corvus_frugilegus,3,2010s,0.3010301431566879,-0.4690677811974047
Coturnix_coturnix,3,2010s,0.1520867468536772,0.22766448277862192
Crex_crex,3,2010s,0.281843512365594,0.09401183118929722
Cuculus_canorus,3,2010s,0.24121459798812284,0.1280314063914833
Curruca_communis,3,2010s,-0.008715180773994276,-0.0026386963116837195
Curruca_curruca,3,2010s,0.0014782641622821976,-0.2164244530376703
Cyanistes_caeruleus,3,2010s,0.3953134639100651,-0.16249871638976468
Cygnus_olor,3,2010s,-0.027655830333275514,-0.13197685942266874
Delichon_urbicum,3,2010s,0.17007546441557012,-0.09617086192044128
Dendrocopos_major,3,2010s,0.4749797664848803,-0.07533238003762972
Dryobates_minor,3,2010s,0.24268623055457086,0.054408624588809
Dryocopus_martius,3,2010s,0.30024268048136193,0.24150595957882484
Emberiza_calandra,3,2010s,0.1660567236831618,-0.07795993380327819
Emberiza_citrinella,3,2010s,0.337216646804687,-0.0524099907573583
Emberiza_schoeniclus,3,2010s,-0.28005685265964986,0.09306634227020004
Erithacus_rubecula,3,2010s,0.49759468193801026,0.04765869522089701
Falco_tinnunculus,3,2010s,0.12337234280716709,-0.03716262650605727
Ficedula_hypoleuca,3,2010s,0.1628800795491101,-0.1163109372143627
Ficedula_parva,3,2010s,-0.07558963168648748,-0.09821623161954812
Fringilla_coelebs,3,2010s,0.5144407951354312,0.0814357701806456
Fulica_atra,3,2010s,0.24235943389003636,-0.1816555089589056
Gallinago_gallinago,3,2010s,0.08891100431627534,0.08641779798554179
Gallinula_chloropus,3,2010s,0.23886159476506347,-0.1928690780519786
Garrulus_glandarius,3,2010s,0.3089773102558074,-0.0421367234665277
Haematopus_ostralegus,3,2010s,-0.6672968093212782,-0.18515950854052254
Hippolais_icterina,3,2010s,-0.3213538029542688,-0.06541284534889229
Hirundo_rustica,3,2010s,0.032413573691449496,-0.04710538184832142
Jynx_torquilla,3,2010s,-4.920284891725332e-4,0.19204755251510747
Lanius_collurio,3,2010s,-0.03843406856273177,0.17454683209551133
